id,question_type,method,evidence_coverage,evidence_hit_rate,evidence_count,answer_proxy_rouge_l,context_words,latency_ms,retrieved_chunk_ids,trace,answer_proxy
Medical-a8ee8ba1,Fact Retrieval,path_proxy,1.0,1.0,1,0.4666666666666667,1260,3.681848000269383,"[6, 0, 5, 27, 4, 1, 3]","{""strategy"": ""relation_path_proxy"", ""paths"": [[6, 0], [6, 5], [6, 27], [0, 5], [0, 27], [5, 27]]}",Surgery is the most common treatment for basal cell skin cancer. Surgery is the most common treatment for basal cell skin cancer.
Medical-ec7d8801,Fact Retrieval,vector,0.5555555555555556,0.0,1,0.1639344262295082,538,1.8744690023595467,"[1160, 1219, 938]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [1160, 1219, 938]}",Radiation therapy can be given alone but is more often given with other bladder cancer treatments: Chemoradiation Chemotherapy and radiation therapy are often used together to treat bladder cancer. Radiation therapy may be used for thyroid cancer that can't be removed with surgery and doesn't respond to RAI therapy.
Medical-ec7d8801,Fact Retrieval,light_proxy,0.7777777777777778,1.0,1,0.15384615384615385,897,2.9679279978154227,"[60, 1160, 61, 938, 1159]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [1160, 1219, 938, 61, 60, 82, 1214, 1159]}",Radiation therapy can be given alone but is more often given with other bladder cancer treatments: Chemoradiation Chemotherapy and radiation therapy are often used together to treat bladder cancer. Types of radiation therapy There are two general types of radiation therapy that can be used to treat CSCC: external beam radiation therapy (EBRT) and brachytherapy.
Medical-ec7d8801,Fact Retrieval,path_proxy,0.8888888888888888,1.0,1,0.1818181818181818,1256,3.9569400032632984,"[1160, 61, 938, 60, 1219, 1159, 82]","{""strategy"": ""relation_path_proxy"", ""paths"": [[1160, 1161, 1221, 1220, 1219], [1160, 1159, 938], [1160, 60, 61], [938, 60, 61]]}","Otherwise, radiation therapy is recommended. Radiation therapy can be given alone but is more often given with other bladder cancer treatments: Chemoradiation Chemotherapy and radiation therapy are often used together to treat bladder cancer."
Medical-9797af69,Fact Retrieval,vector,0.625,0.3333333333333333,3,0.0909090909090909,537,1.6798279975773767,"[0, 308, 6]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [0, 308, 6]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. This is especially true for the first recurrence."
Medical-9797af69,Fact Retrieval,light_proxy,0.625,0.3333333333333333,3,0.0909090909090909,893,2.357834004214965,"[0, 308, 906, 6, 907]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [0, 308, 6, 906, 904, 907, 307, 305]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. This is especially true for the first recurrence."
Medical-9797af69,Fact Retrieval,path_proxy,0.625,0.3333333333333333,3,0.0909090909090909,1249,3.66625400056364,"[0, 6, 308, 906, 907, 307, 904]","{""strategy"": ""relation_path_proxy"", ""paths"": [[0, 6]]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. This is especially true for the first recurrence."
Medical-6884d3fa,Fact Retrieval,vector,0.7388888888888889,0.5,2,0.08163265306122448,537,1.7386649997206405,"[0, 1210, 798]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [0, 1210, 798]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. If cancer is found during initial follow-up examination, it does not mean that treatment failed."
Medical-6884d3fa,Fact Retrieval,light_proxy,0.8444444444444444,1.0,2,0.08163265306122448,897,2.395691000856459,"[0, 1207, 1210, 798, 1206]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [0, 1210, 798, 904, 1207, 1206, 91, 114]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. If cancer is found during initial follow-up examination, it does not mean that treatment failed."
Medical-6884d3fa,Fact Retrieval,path_proxy,0.95,1.0,2,0.08163265306122448,1255,3.6677970056189224,"[798, 904, 0, 1210, 1207, 1206, 91]","{""strategy"": ""relation_path_proxy"", ""paths"": [[798, 904]]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. If cancer is found during initial follow-up examination, it does not mean that treatment failed."
Medical-fc6d1c33,Fact Retrieval,vector,0.75,1.0,1,0.26666666666666666,544,2.0849549982813187,"[0, 2, 1]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [0, 2, 1]}",Basal cell skin cancer occurs when some basal cells become abnormal and grow out of control. Basal cell skin cancer occurs when some basal cells become abnormal and grow out of control.
Medical-fc6d1c33,Fact Retrieval,light_proxy,0.75,1.0,1,0.26666666666666666,908,3.373055995325558,"[0, 1, 2, 5, 29]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [0, 2, 1, 29, 6, 4, 5, 27]}",Basal cell skin cancer occurs when some basal cells become abnormal and grow out of control. Basal cell skin cancer occurs when some basal cells become abnormal and grow out of control.
Medical-fc6d1c33,Fact Retrieval,path_proxy,0.75,1.0,1,0.26666666666666666,1268,4.164110003330279,"[1, 0, 2, 29, 5, 4, 6]","{""strategy"": ""relation_path_proxy"", ""paths"": [[0, 1, 2], [0, 1], [0, 1, 29], [2, 1], [2, 29], [1, 29]]}",Basal cell skin cancer occurs when some basal cells become abnormal and grow out of control. Basal cell skin cancer occurs when some basal cells become abnormal and grow out of control.
Medical-97abee55,Fact Retrieval,vector,0.8333333333333334,1.0,1,0.24242424242424246,541,1.8356310029048473,"[29, 0, 1]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [29, 0, 1]}",The epidermis is made up of basal cells and other cells. The epidermis is made up of basal cells and other cells.
Medical-97abee55,Fact Retrieval,light_proxy,1.0,1.0,1,0.24242424242424246,904,2.334698998311069,"[29, 0, 2, 1, 4]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [29, 0, 1, 2, 6, 4, 3, 5]}",The epidermis is made up of basal cells and other cells. The epidermis is made up of basal cells and other cells.
Medical-97abee55,Fact Retrieval,path_proxy,1.0,1.0,1,0.24242424242424246,1268,3.637551999418065,"[1, 29, 0, 2, 4, 5, 6]","{""strategy"": ""relation_path_proxy"", ""paths"": [[29, 1, 0], [29, 1], [29, 2], [0, 1], [0, 1, 2], [1, 2]]}",The epidermis is made up of basal cells and other cells. The epidermis is made up of basal cells and other cells.
Medical-28d1e2d7,Fact Retrieval,vector,1.0,1.0,1,0.13333333333333333,543,1.7916850047186017,"[31, 30, 5]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [31, 30, 5]}","Age – Risk increases with age because sun exposure builds up over time. Because longterm sun exposure can lead to squamous cell skin cancer, it is more common in people who have spent more years in the sun."
Medical-28d1e2d7,Fact Retrieval,light_proxy,1.0,1.0,1,0.13333333333333333,903,2.4493710006936453,"[31, 30, 5, 4, 116]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [31, 30, 5, 4, 116, 1101, 506, 1102]}","Age – Risk increases with age because sun exposure builds up over time. Because longterm sun exposure can lead to squamous cell skin cancer, it is more common in people who have spent more years in the sun."
Medical-28d1e2d7,Fact Retrieval,path_proxy,1.0,1.0,1,0.13333333333333333,1260,3.7277060037013143,"[31, 30, 5, 4, 116, 1101, 506]","{""strategy"": ""relation_path_proxy"", ""paths"": [[31, 30], [31, 5], [31, 4], [30, 5], [30, 4], [5, 4]]}","Age – Risk increases with age because sun exposure builds up over time. Because longterm sun exposure can lead to squamous cell skin cancer, it is more common in people who have spent more years in the sun."
Medical-4cf524cb,Fact Retrieval,vector,1.0,1.0,1,0.11538461538461538,546,1.7137379982159473,"[4, 31, 5]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [4, 31, 5]}",Causes and risk factors Basal cell skin cancer is caused by exposure to UV radiation from the sun or other sources like tanning beds. skin cancer include: UV light exposure – UV light (radiation) that comes from the sun or tanning beds increases your risk.
Medical-4cf524cb,Fact Retrieval,light_proxy,1.0,1.0,1,0.11538461538461538,905,2.48430400097277,"[4, 5, 31, 1126, 537]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [4, 31, 5, 1126, 1128, 860, 537, 859]}",Causes and risk factors Basal cell skin cancer is caused by exposure to UV radiation from the sun or other sources like tanning beds. skin cancer include: UV light exposure – UV light (radiation) that comes from the sun or tanning beds increases your risk.
Medical-4cf524cb,Fact Retrieval,path_proxy,1.0,1.0,1,0.11538461538461538,1257,4.218321999360342,"[4, 5, 31, 1126, 537, 860, 1128]","{""strategy"": ""relation_path_proxy"", ""paths"": [[4, 31], [4, 5], [31, 5]]}",Causes and risk factors Basal cell skin cancer is caused by exposure to UV radiation from the sun or other sources like tanning beds. skin cancer include: UV light exposure – UV light (radiation) that comes from the sun or tanning beds increases your risk.
Medical-df1408f4,Fact Retrieval,vector,0.22023809523809523,0.0,3,0.125,531,1.8962419999297708,"[730, 729, 271]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [730, 729, 271]}","Ovarian cancer associated with a BRCA mutation or Lynch syndrome usually starts at a younger age than non-hereditary ovarian cancer. (Very rarely it starts in the eyes and spreads to the brain.) If lymphoma occurs in the eye, it often forms in the back of the eye, called the retina."
Medical-df1408f4,Fact Retrieval,light_proxy,0.8630952380952381,1.0,3,0.37209302325581395,896,2.7338979998603463,"[730, 729, 5, 731, 4]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [730, 729, 271, 4, 73, 2, 5, 731]}","Then a thin needle is inserted into the eye. Fair skin, red or blond hair, or light eye color – People with lighter-colored skin are at a higher risk of"
Medical-df1408f4,Fact Retrieval,path_proxy,1.0,1.0,3,0.37209302325581395,1254,5.826451997563709,"[730, 729, 73, 30, 5, 731, 4]","{""strategy"": ""relation_path_proxy"", ""paths"": [[30, 29, 28, 73], [730, 729]]}","Then a thin needle is inserted into the eye. Fair skin, red or blond hair, or light eye color – People with lighter-colored skin are at a higher risk of"
Medical-17ae12cd,Fact Retrieval,vector,0.5,0.0,1,0.3,533,1.8418300023768097,"[1219, 82, 94]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [1219, 82, 94]}","Otherwise, radiation therapy is recommended. Treatment with radiation therapy will be considered."
Medical-17ae12cd,Fact Retrieval,light_proxy,0.625,0.0,1,0.3,895,2.462841002852656,"[82, 84, 60, 61, 94]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [1219, 82, 94, 61, 84, 938, 60, 72]}","Otherwise, radiation therapy is recommended. Treatment with radiation therapy will be considered."
Medical-17ae12cd,Fact Retrieval,path_proxy,0.75,1.0,1,0.3,1253,3.817321005044505,"[82, 94, 1219, 61, 84, 60, 72]","{""strategy"": ""relation_path_proxy"", ""paths"": [[1219, 92, 82], [1219, 93, 94], [82, 94]]}","Otherwise, radiation therapy is recommended. Treatment with radiation therapy will be considered."
Medical-965ad8a8,Fact Retrieval,vector,0.4,0.0,1,0.05128205128205128,542,2.2660469985567033,"[0, 27, 5]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [0, 27, 5]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. Basal cell skin cancer is the most common of all skin cancer types."
Medical-965ad8a8,Fact Retrieval,light_proxy,0.8,1.0,1,0.05128205128205128,897,2.6111539991688915,"[0, 5, 27, 6, 3]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [0, 27, 5, 44, 6, 43, 3, 59]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. Basal cell skin cancer is the most common of all skin cancer types."
Medical-965ad8a8,Fact Retrieval,path_proxy,0.8,1.0,1,0.05128205128205128,1256,3.8161990014486946,"[0, 27, 5, 44, 6, 3, 43]","{""strategy"": ""relation_path_proxy"", ""paths"": [[0, 27], [0, 5], [0, 27, 44], [27, 5], [27, 44], [5, 44]]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. Basal cell skin cancer is the most common of all skin cancer types."
Medical-5175a85e,Fact Retrieval,vector,0.4,0.0,1,0.10526315789473684,534,1.6704730005585589,"[0, 728, 7]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [0, 728, 7]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. You have an important role to play in your care."
Medical-5175a85e,Fact Retrieval,light_proxy,0.2,0.0,1,0.10526315789473684,887,2.299465995747596,"[0, 7, 104, 368, 428]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [0, 728, 7, 104, 368, 486, 1069, 428]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. You have an important role to play in your care."
Medical-5175a85e,Fact Retrieval,path_proxy,0.4,0.0,1,0.10526315789473684,1240,4.681671998696402,"[7, 0, 104, 728, 368, 428, 486]","{""strategy"": ""relation_path_proxy"", ""paths"": [[0, 6, 7], [0, 6, 7, 104], [7, 104]]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. You have an important role to play in your care."
Medical-5f2cb8a5,Fact Retrieval,vector,0.8571428571428571,1.0,1,0.16666666666666666,540,2.722350000112783,"[82, 83, 84]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [82, 83, 84]}",Treatment with radiation therapy will be considered. Treatment with radiation therapy will be considered.
Medical-5f2cb8a5,Fact Retrieval,light_proxy,0.8571428571428571,1.0,1,0.16666666666666666,894,3.10295100643998,"[82, 83, 84, 94, 246]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [82, 83, 84, 94, 65, 462, 246, 75]}",Treatment with radiation therapy will be considered. Treatment with radiation therapy will be considered.
Medical-5f2cb8a5,Fact Retrieval,path_proxy,0.8571428571428571,1.0,1,0.16666666666666666,1250,3.9773909957148135,"[84, 82, 83, 94, 246, 462, 65]","{""strategy"": ""relation_path_proxy"", ""paths"": [[82, 83], [82, 84], [82, 94], [83, 84], [83, 84, 94], [84, 94]]}",Treatment with radiation therapy will be considered. Treatment with radiation therapy will be considered.
Medical-0429f83c,Fact Retrieval,vector,0.8333333333333334,1.0,2,0.0851063829787234,537,1.8077490021823905,"[308, 0, 6]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [308, 0, 6]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. If bevacizumab was included in your recurrence chemotherapy regimen, it can be continued alone as maintenance therapy."
Medical-0429f83c,Fact Retrieval,light_proxy,0.9166666666666667,1.0,2,0.0851063829787234,893,2.6404669988551177,"[308, 0, 906, 307, 6]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [308, 0, 6, 906, 904, 907, 307, 305]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. If bevacizumab was included in your recurrence chemotherapy regimen, it can be continued alone as maintenance therapy."
Medical-0429f83c,Fact Retrieval,path_proxy,0.9166666666666667,1.0,2,0.0851063829787234,1249,3.9670249971095473,"[0, 6, 308, 906, 307, 907, 904]","{""strategy"": ""relation_path_proxy"", ""paths"": [[0, 6]]}","Basal cell skin cancer, also known as basal cell carcinoma (BCC), is the most common type of skin cancer. If bevacizumab was included in your recurrence chemotherapy regimen, it can be continued alone as maintenance therapy."
Medical-152bec6a,Fact Retrieval,vector,0.875,1.0,1,0.0851063829787234,537,1.6683099966030568,"[97, 96, 95]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [97, 96, 95]}",How often you should have skin exams depends on whether cancer has spread to nearby lymph nodes. How often you should have skin exams depends on whether cancer has spread to nearby lymph nodes.
Medical-152bec6a,Fact Retrieval,light_proxy,1.0,1.0,1,0.0851063829787234,890,2.567857998656109,"[96, 97, 95, 94, 6]","{""strategy"": ""one_hop_graph_diffusion"", ""seed_chunks"": [97, 96, 95, 94, 6, 46, 0, 903]}",How often you should have skin exams depends on whether cancer has spread to nearby lymph nodes. How often you should have skin exams depends on whether cancer has spread to nearby lymph nodes.
Medical-152bec6a,Fact Retrieval,path_proxy,1.0,1.0,1,0.0851063829787234,1247,3.7251629983074963,"[96, 95, 97, 94, 6, 903, 0]","{""strategy"": ""relation_path_proxy"", ""paths"": [[97, 96], [97, 96, 95], [97, 96, 95, 94], [96, 95], [96, 95, 94], [95, 94]]}",How often you should have skin exams depends on whether cancer has spread to nearby lymph nodes. How often you should have skin exams depends on whether cancer has spread to nearby lymph nodes.
Medical-e3923e5f,Fact Retrieval,vector,0.5714285714285714,0.0,1,0.23529411764705882,547,1.8257470001117326,"[1136, 684, 294]","{""strategy"": ""direct_tfidf"", ""seed_chunks"": [1136, 684, 294]}","Cancer has spread to lymph nodes in the back of the abdomen (retroperitoneal lymph nodes). Or, it has spread to lymph nodes far from the bladder."
